DATA,VALOR,DESPESAS
2016-02-04 00:00:00.000,344.000,-1
2016-02-12 00:00:00.000,2.500.000,-1
2016-02-12 00:00:00.000,2.500.000,-1
2016-02-12 00:00:00.000,2.500.000,-1
2016-02-12 00:00:00.000,2.500.000,-1
2016-02-12 00:00:00.000,3.774.500,-1
2016-02-12 00:00:00.000,3.774.500,-1
2016-02-12 00:00:00.000,42.121.000,-1
2016-02-12 00:00:00.000,42.121.000,-1
2016-02-15 00:00:00.000,172.000,-1
2016-02-15 00:00:00.000,3.774.500,-1
2016-02-15 00:00:00.000,377.500,-1
2016-02-15 00:00:00.000,3.397.000,-1
2016-02-16 00:00:00.000,817.500,-1
2016-02-17 00:00:00.000,325.000,-1
2016-04-06 00:00:00.000,35.505.500,-1
2016-04-06 00:00:00.000,35.505.500,-1
2016-04-06 00:00:00.000,35.000.000,-1
2016-04-06 00:00:00.000,35.000.000,-1
2016-04-07 00:00:00.000,2.118.000,-1
2016-04-26 00:00:00.000,35.030.500,-1
2016-04-26 00:00:00.000,35.030.500,-1
2016-04-26 00:00:00.000,13.140.000,-1
2016-04-26 00:00:00.000,13.140.000,-1
2016-04-26 00:00:00.000,3.742.000,-1
2016-10-18 00:00:00.000,9.602.000,-1
2016-10-18 00:00:00.000,9.602.000,-1
2016-10-18 00:00:00.000,2.135.000,-1
2016-10-18 00:00:00.000,6.890.000,-1
2016-10-18 00:00:00.000,6.890.000,-1
2016-10-18 00:00:00.000,29.302.000,-1
2016-10-20 00:00:00.000,1.8400,-1
2016-11-10 00:00:00.000,29.326.500,-1
2016-11-10 00:00:00.000,29.326.500,-1
2016-11-10 00:00:00.000,10.156.500,-1
2016-11-10 00:00:00.000,10.156.500,-1
2016-11-23 00:00:00.000,30.002.200,-1
2016-11-23 00:00:00.000,30.002.200,-1
2016-11-24 00:00:00.000,2.135.000,-1
2016-11-24 00:00:00.000,817.500,-1
2016-11-24 00:00:00.000,15.314.000,-1
2016-11-24 00:00:00.000,3.188.000,-1
2016-11-24 00:00:00.000,24.000.000,-1
2016-11-24 00:00:00.000,24.864.000,-1
2016-11-24 00:00:00.000,12.126.000,-1
2016-11-24 00:00:00.000,5.575.500,-1
2016-11-24 00:00:00.000,990.000,-1
2016-11-24 00:00:00.000,279.100,-1
2016-12-01 00:00:00.000,87.979.500,-1
2016-12-01 00:00:00.000,87.979.500,-1
2016-12-01 00:00:00.000,254.000,-1
2016-12-01 00:00:00.000,254.000,-1
2016-12-01 00:00:00.000,254.000,-1
2016-12-02 00:00:00.000,8.210.000,-1
2016-12-06 00:00:00.000,132.600,-1
2016-12-06 00:00:00.000,14.936.700,-1
2016-12-07 00:00:00.000,18.900.000,-1
2016-12-08 00:00:00.000,185.200,-1
2016-12-09 00:00:00.000,147.300,-1
2016-12-09 00:00:00.000,15.800.000,-1
2016-12-09 00:00:00.000,15.800.000,-1
2016-12-12 00:00:00.000,11.226.000,-1
2016-12-12 00:00:00.000,12.888.500,-1
2016-12-15 00:00:00.000,64.333.000,-1
2016-12-15 00:00:00.000,542.500,-1
2016-12-15 00:00:00.000,63.790.500,-1
2016-12-15 00:00:00.000,447.500,-1
2016-12-19 00:00:00.000,35.106.000,-1
2016-12-19 00:00:00.000,6.500.000,-1
2016-12-19 00:00:00.000,6.500.000,-1
2016-12-19 00:00:00.000,36.784.000,-1
2016-12-20 00:00:00.000,10.364.800,-1
2016-12-20 00:00:00.000,10.364.800,-1
2016-12-20 00:00:00.000,35.416.300,-1
2016-12-20 00:00:00.000,259.000,-1
2017-01-03 00:00:00.000,60.087.000,-1
2017-01-03 00:00:00.000,15.968.000,-1
2017-01-03 00:00:00.000,29.914.800,-1
2017-01-03 00:00:00.000,30.113.200,-1
2017-01-05 00:00:00.000,551.500,-1
2017-01-05 00:00:00.000,74.733.000,-1
2017-01-05 00:00:00.000,74.733.000,-1
2017-01-16 00:00:00.000,53.404.000,-1
2017-01-16 00:00:00.000,54.489.700,-1
2017-01-16 00:00:00.000,1.200.000,-1
2017-01-27 00:00:00.000,10.2100,-1
2017-01-27 00:00:00.000,104.368.500,-1
2017-01-27 00:00:00.000,104.750.100,-1
2017-01-27 00:00:00.000,704.000,-1
2017-01-27 00:00:00.000,704.000,-1
2017-02-03 00:00:00.000,123.996.200,-1
2017-02-08 00:00:00.000,25.330.800,-1
2017-02-22 00:00:00.000,153.400,-1
2017-02-22 00:00:00.000,335.894.500,-1
2017-02-22 00:00:00.000,224.282.000,-1
2017-03-10 00:00:00.000,19.985.800,-1
2017-03-10 00:00:00.000,19.231.000,-1
2017-03-10 00:00:00.000,5.432.800,-1
2017-03-16 00:00:00.000,14.062.000,-1
2017-03-16 00:00:00.000,14.062.000,-1
2017-03-16 00:00:00.000,4.889.500,-1
2017-03-17 00:00:00.000,564.456.800,-1
2017-03-17 00:00:00.000,564.456.800,-1
2017-03-17 00:00:00.000,3.677.800,-1
2017-03-21 00:00:00.000,58.862.000,-1
2017-03-21 00:00:00.000,58.937.900,-1
2017-03-21 00:00:00.000,34.324.900,-1
2017-03-21 00:00:00.000,3.065.200,-1
2017-03-22 00:00:00.000,3.167.500,-1
2017-03-22 00:00:00.000,166.000,-1
2017-03-22 00:00:00.000,166.000,-1
2017-03-22 00:00:00.000,86.755.000,-1
2017-03-22 00:00:00.000,40.622.000,-1
2017-03-22 00:00:00.000,41.310.200,-1
2017-03-22 00:00:00.000,86.755.000,-1
2017-03-22 00:00:00.000,2.4800,-1
2017-03-22 00:00:00.000,2.4800,-1
2017-03-22 00:00:00.000,3.117.200,-1
2017-04-04 00:00:00.000,1.239.000,-1
2017-04-05 00:00:00.000,2.661.500,-1
2017-04-05 00:00:00.000,2.661.500,-1
2017-04-20 00:00:00.000,4.8700,-1
2017-04-20 00:00:00.000,5.178.000,-1
2017-04-20 00:00:00.000,5.178.000,-1
2017-04-20 00:00:00.000,885.000,-1
2017-04-20 00:00:00.000,42.510.000,-1
2017-04-20 00:00:00.000,43.650.800,-1
2017-04-24 00:00:00.000,18.309.000,-1
2017-04-24 00:00:00.000,18.309.000,-1
2017-04-24 00:00:00.000,694.800,-1
2017-04-24 00:00:00.000,27.605.000,-1
2017-04-24 00:00:00.000,5.000.000,-1
2017-04-24 00:00:00.000,76.745.500,-1
2017-04-25 00:00:00.000,1.658.800,-1
2017-04-25 00:00:00.000,720.500,-1
2017-04-25 00:00:00.000,11.577.200,-1
2017-04-25 00:00:00.000,47.071.500,-1
2017-04-25 00:00:00.000,48.119.900,-1
2017-04-25 00:00:00.000,65.408.000,-1
2017-04-27 00:00:00.000,51.066.600,-1
2017-04-27 00:00:00.000,238.700,-1
2017-05-04 00:00:00.000,13.690.000,-1
2017-05-04 00:00:00.000,13.690.000,-1
2017-05-04 00:00:00.000,13.690.000,-1
2017-05-04 00:00:00.000,8.666.000,-1
2017-05-04 00:00:00.000,18.255.000,-1
2017-05-04 00:00:00.000,300.400,-1
2017-05-05 00:00:00.000,14.965.000,-1
2017-05-05 00:00:00.000,28.795.600,-1
2017-05-23 00:00:00.000,12.446.500,-1
2017-05-23 00:00:00.000,244.500,-1
2017-05-25 00:00:00.000,2.203.200,-1
2017-05-25 00:00:00.000,2.203.200,-1
2017-05-31 00:00:00.000,1.529.500,-1
2017-06-01 00:00:00.000,607.754.700,-1
2017-06-01 00:00:00.000,4.046.500,-1
2017-06-01 00:00:00.000,7.996.800,-1
2017-06-02 00:00:00.000,160.700,-1
2017-06-02 00:00:00.000,6.4400,-1
2017-06-05 00:00:00.000,2.745.500,-1
2017-06-06 00:00:00.000,14.982.200,-1
2017-12-15 00:00:00.000,3.911.500,-1
2017-12-18 00:00:00.000,4.995.000,-1
2017-12-18 00:00:00.000,13.295.500,-1
2017-12-18 00:00:00.000,13.332.700,-1
2017-12-19 00:00:00.000,2.633.500,-1
2017-12-19 00:00:00.000,2.633.500,-1
2017-12-21 00:00:00.000,185.900,-1
2017-12-21 00:00:00.000,5.8800,-1
2017-12-29 00:00:00.000,13.286.800,-1
2018-01-02 00:00:00.000,2.638.300,-1
2018-01-02 00:00:00.000,2.638.300,-1
2018-01-02 00:00:00.000,13.358.100,-1
2018-02-28 00:00:00.000,1.301.000,-1
2018-03-09 00:00:00.000,378.000,-1
2018-05-03 00:00:00.000,7.542.700,-1
2018-05-03 00:00:00.000,7.323.000,-1
2018-05-03 00:00:00.000,1.301.000,-1
2018-05-03 00:00:00.000,1.239.000,-1
2018-05-04 00:00:00.000,13.028.500,-1
2018-05-04 00:00:00.000,6.2600,-1
2018-05-04 00:00:00.000,12.678.000,-1
2018-05-16 00:00:00.000,377.000,-1
2018-05-21 00:00:00.000,5.7800,-1
2018-05-21 00:00:00.000,500.000,-1
2018-05-21 00:00:00.000,1.500.000,-1
2018-05-21 00:00:00.000,1.500.000,-1
2018-05-21 00:00:00.000,652.600,-1
2018-05-21 00:00:00.000,600.000,-1
2018-05-22 00:00:00.000,1.662.900,-1
2018-05-22 00:00:00.000,71.557.500,-1
2018-05-22 00:00:00.000,3.047.410.000,-1
2018-05-22 00:00:00.000,3.154.072.600,-1
2018-05-22 00:00:00.000,5.480.000,-1
2018-05-22 00:00:00.000,4.570.000,-1
2018-05-22 00:00:00.000,73.816.600,-1
2018-05-22 00:00:00.000,195.800,-1
2018-05-23 00:00:00.000,27.150.000,-1
2018-05-23 00:00:00.000,1.501.000,-1
2018-05-23 00:00:00.000,600.000.000,-1
2018-05-23 00:00:00.000,80.250.000,-1
2018-05-23 00:00:00.000,600.000.000,-1
2018-05-23 00:00:00.000,3.000.000,-1
2018-05-23 00:00:00.000,195.800,-1
2018-05-24 00:00:00.000,123.464.300,-1
2018-05-24 00:00:00.000,123.464.300,-1
2018-05-24 00:00:00.000,86.769.000,-1
2018-05-24 00:00:00.000,3.000.000,-1
2018-05-24 00:00:00.000,1.000.000,-1
2018-05-24 00:00:00.000,522.000,-1
2018-05-24 00:00:00.000,500,-1
2018-05-24 00:00:00.000,7.2000,-1
2018-05-24 00:00:00.000,300,-1
2018-05-24 00:00:00.000,162.500.000,-1
2018-05-24 00:00:00.000,165.038.000,-1
2018-05-25 00:00:00.000,4.051.800,-1
2018-05-28 00:00:00.000,17.160.000,-1
2018-05-28 00:00:00.000,500.000,-1
2018-05-28 00:00:00.000,162.500.000,-1
2018-05-28 00:00:00.000,165.038.000,-1
2018-05-28 00:00:00.000,9.335.000,-1
2018-05-28 00:00:00.000,500.000,-1
2018-05-28 00:00:00.000,4.667.500,-1
2018-05-28 00:00:00.000,250.000,-1
2018-05-28 00:00:00.000,1.890.800,-1
2018-05-28 00:00:00.000,4.667.500,-1
2018-06-06 00:00:00.000,130.400.000,-1
2018-07-12 00:00:00.000,500.000,-1
2018-07-20 00:00:00.000,130.400.000,-1
2018-07-20 00:00:00.000,130.400.000,-1
2018-07-20 00:00:00.000,1.000.000,-1
2018-07-20 00:00:00.000,50.000.000,-1
2018-07-20 00:00:00.000,15.460.000,-1
2018-07-20 00:00:00.000,5.000.000,-1
2018-07-20 00:00:00.000,14.070.000,-1
2018-07-20 00:00:00.000,1.000.000,-1
2018-07-24 00:00:00.000,3.669.000.000,-1
2018-07-24 00:00:00.000,5.000.000,-1
2018-07-24 00:00:00.000,5.000.000,-1
2018-07-24 00:00:00.000,5.000.000,-1
2018-07-24 00:00:00.000,140.700.000,-1
2018-07-24 00:00:00.000,146.760.000,-1
2018-07-24 00:00:00.000,6.276.000.000,-1
2018-07-25 00:00:00.000,1.962.526.300,-1
2018-07-26 00:00:00.000,1.962.526.200,-1
2018-07-31 00:00:00.000,1.680.300,-1
2018-07-31 00:00:00.000,5.285.700.000,-1
2018-07-31 00:00:00.000,5.399.871.100,-1
2018-08-21 00:00:00.000,9.582.900.000,-1
2018-08-21 00:00:00.000,9.789.890.600,-1
2018-08-21 00:00:00.000,12.2300,-1
2018-08-21 00:00:00.000,1.000.000,-1
2018-08-21 00:00:00.000,198.105.000,-1
2018-08-21 00:00:00.000,36.690.000.000,-1
2018-08-21 00:00:00.000,36.690.000.000,-1
2018-08-21 00:00:00.000,195.798.000.000,-1
2018-08-21 00:00:00.000,9.789.890.600,-1
2018-08-21 00:00:00.000,50.000.000,-1
2018-08-21 00:00:00.000,50.000.000,-1
2018-08-21 00:00:00.000,5.000.000,-1
2018-10-11 00:00:00.000,411.600,-1
2018-10-29 00:00:00.000,10.326.000,-1
2018-10-29 00:00:00.000,10.326.000,-1
2018-10-29 00:00:00.000,10.326.000,-1
2018-10-29 00:00:00.000,10.326.000,-1
2018-12-17 00:00:00.000,19.026.000,-1
2018-12-17 00:00:00.000,1.635.000,-1
2018-12-17 00:00:00.000,4.323.000,-1
2018-12-17 00:00:00.000,6.870.000,-1
2018-12-18 00:00:00.000,500.000,-1
2018-12-18 00:00:00.000,500.000,-1
2018-12-18 00:00:00.000,10.326.000,-1
2018-12-18 00:00:00.000,10.326.000,-1
2019-02-19 00:00:00.000,10.326.000,-1
2019-02-19 00:00:00.000,10.326.000,-1
2019-02-19 00:00:00.000,10.326.000,-1
2019-02-19 00:00:00.000,10.326.000,-1
2019-06-06 00:00:00.000,23.990.400,-1
2019-08-26 00:00:00.000,59.010.000,-1
2019-08-27 00:00:00.000,444.183.800,-1
2019-08-27 00:00:00.000,392.000,-1
2019-08-27 00:00:00.000,392.000,-1
2019-08-27 00:00:00.000,392.000,-1
2019-12-23 00:00:00.000,3.000.000,-1
2020-04-20 00:00:00.000,2.800.500,-1
2020-04-20 00:00:00.000,2.800.500,-1
2020-04-20 00:00:00.000,289.230.000,-1
2020-04-28 00:00:00.000,162.990.000,-1
2020-04-28 00:00:00.000,425.010.000,-1
2020-04-28 00:00:00.000,440.310.400,-1
2020-04-28 00:00:00.000,1.000.000,-1
2020-04-28 00:00:00.000,578.460.000,-1
2020-04-28 00:00:00.000,433.845.000,-1
2020-04-28 00:00:00.000,449.463.400,-1
2020-04-28 00:00:00.000,599.284.600,-1
2020-04-29 00:00:00.000,513.996.000,-1
2020-04-29 00:00:00.000,531.720.000,-1
2020-04-29 00:00:00.000,531.720.000,-1
2020-04-29 00:00:00.000,17.724.000,-1
2020-04-29 00:00:00.000,550.861.900,-1
2020-04-29 00:00:00.000,1.000.000,-1
2020-04-29 00:00:00.000,550.861.900,-1
2020-04-29 00:00:00.000,1.000.000,-1
2020-04-29 00:00:00.000,532.499.800,-1
2020-04-29 00:00:00.000,1.000.000,-1
2020-04-29 00:00:00.000,551.670.000,-1
2020-04-29 00:00:00.000,551.670.000,-1
2020-04-29 00:00:00.000,1.000.000,-1
2020-04-29 00:00:00.000,1.000.000,-1
2020-04-29 00:00:00.000,1.000.000,-1
2020-04-29 00:00:00.000,2.000.000,-1
2020-04-29 00:00:00.000,1.000.000,-1
