DATA,VALOR,DESPESAS
2018-05-23 00:00:00.000,1.312.096.800,-1
2016-12-08 00:00:00.000,185.200,-1
2021-02-26 00:00:00.000,10.000.000,-1
2017-06-06 00:00:00.000,14.982.200,-1
2018-07-26 00:00:00.000,1.962.526.200,-1
2022-09-15 00:00:00.000,5.000.000,-1
2018-01-02 00:00:00.000,18.634.700,-1
2021-04-29 00:00:00.000,19.005.000,-1
2017-01-03 00:00:00.000,136.083.000,-1
2017-03-10 00:00:00.000,44.649.600,-1
2022-07-28 00:00:00.000,300.000,-1
2022-10-13 00:00:00.000,2.000.000,-1
2018-03-09 00:00:00.000,378.000,-1
2023-11-05 00:00:00.000,19.869.000,-1
2016-02-17 00:00:00.000,325.000,-1
2024-07-25 00:00:00.000,1.200.000,-1
2016-12-12 00:00:00.000,24.114.500,-1
2017-12-15 00:00:00.000,3.911.500,-1
2018-12-18 00:00:00.000,21.652.000,-1
2020-10-27 00:00:00.000,2.999.450.000,-1
2016-10-20 00:00:00.000,18.400,-1
2017-12-18 00:00:00.000,31.623.200,-1
2016-12-15 00:00:00.000,129.113.500,-1
2021-10-26 00:00:00.000,56.000.000,-1
2018-12-17 00:00:00.000,31.854.000,-1
2024-08-19 00:00:00.000,12.000,-1
2017-03-17 00:00:00.000,1.132.591.400,-1
2016-12-19 00:00:00.000,84.890.000,-1
2016-11-10 00:00:00.000,78.966.000,-1
2017-12-19 00:00:00.000,5.267.000,-1
2023-09-06 00:00:00.000,138.900,-1
2021-11-16 00:00:00.000,15.282.800,-1
2017-06-02 00:00:00.000,225.100,-1
2019-08-26 00:00:00.000,59.010.000,-1
2017-05-25 00:00:00.000,4.406.400,-1
2017-05-23 00:00:00.000,12.691.000,-1
2023-10-01 00:00:00.000,2.000.000,-1
2016-12-09 00:00:00.000,31.747.300,-1
2018-02-28 00:00:00.000,1.301.000,-1
2018-05-28 00:00:00.000,366.508.800,-1
2020-04-30 00:00:00.000,2.052.628.600,-1
2021-02-25 00:00:00.000,50.000.000,-1
2017-06-05 00:00:00.000,2.745.500,-1
2016-12-07 00:00:00.000,18.900.000,-1
2024-04-11 00:00:00.000,68.900,-1
2021-08-02 00:00:00.000,1.300.000,-1
2018-07-25 00:00:00.000,1.962.526.300,-1
2022-06-14 00:00:00.000,1.306.000,-1
2020-04-29 00:00:00.000,4.341.825.600,-1
2022-07-29 00:00:00.000,1.126.000,-1
2016-02-16 00:00:00.000,817.500,-1
2018-05-16 00:00:00.000,377.000,-1
2021-08-04 00:00:00.000,25.091.600,-1
2023-11-06 00:00:00.000,442.000,-1
2021-07-07 00:00:00.000,4.512.600,-1
2017-05-31 00:00:00.000,1.529.500,-1
2023-06-14 00:00:00.000,2.000.000,-1
2017-01-27 00:00:00.000,210.628.700,-1
2017-04-25 00:00:00.000,174.555.900,-1
2023-07-07 00:00:00.000,58.600,-1
2018-10-29 00:00:00.000,41.304.000,-1
2017-04-27 00:00:00.000,51.305.300,-1
2021-06-24 00:00:00.000,9.600,-1
2024-07-01 00:00:00.000,10.000.000.000,-1
2018-05-04 00:00:00.000,25.769.100,-1
2018-10-11 00:00:00.000,411.600,-1
2017-03-22 00:00:00.000,262.108.500,-1
2017-05-04 00:00:00.000,68.291.400,-1
2016-02-04 00:00:00.000,344.000,-1
2017-02-08 00:00:00.000,25.330.800,-1
2016-12-20 00:00:00.000,56.404.900,-1
2024-06-26 00:00:00.000,50.000.000,-1
2018-08-21 00:00:00.000,298.644.908.500,-1
2016-12-06 00:00:00.000,15.069.300,-1
2018-07-12 00:00:00.000,500.000,-1
2020-08-25 00:00:00.000,10.000.000,-1
2017-02-22 00:00:00.000,560.329.900,-1
2021-11-17 00:00:00.000,300,-1
2018-05-21 00:00:00.000,4.810.400,-1
2021-06-02 00:00:00.000,993.000,-1
2019-06-06 00:00:00.000,23.990.400,-1
2021-02-24 00:00:00.000,50.002.000,-1
2020-06-30 00:00:00.000,23.800,-1
2023-12-01 00:00:00.000,1.200.000,-1
2018-07-24 00:00:00.000,10.247.460.000,-1
2016-02-15 00:00:00.000,7.721.000,-1
2018-07-20 00:00:00.000,347.330.000,-1
2022-11-24 00:00:00.000,1.494.000,-1
2017-01-05 00:00:00.000,150.017.500,-1
2021-04-27 00:00:00.000,2.519.500,-1
2021-08-05 00:00:00.000,100.672.500,-1
2023-11-07 00:00:00.000,4.250.000,-1
2024-07-28 00:00:00.000,1.204.000,-1
2020-04-28 00:00:00.000,3.090.363.400,-1
2021-11-05 00:00:00.000,53.600,-1
2020-04-20 00:00:00.000,294.831.000,-1
2017-04-05 00:00:00.000,5.323.000,-1
2016-04-07 00:00:00.000,2.118.000,-1
2017-04-20 00:00:00.000,97.450.500,-1
2021-08-16 00:00:00.000,74.613.700,-1
2016-04-06 00:00:00.000,141.011.000,-1
