DATA,VALOR,PROVISÃO
2016-02-12 00:00:00.000,8.000.000,0
2016-02-12 00:00:00.000,4.808.500,0
2016-02-15 00:00:00.000,1.475.000,0
2016-02-15 00:00:00.000,1.981.000,0
2016-02-15 00:00:00.000,1.475.000,0
2016-02-17 00:00:00.000,4.287.000,0
2016-02-17 00:00:00.000,1.594.500,0
2016-04-07 00:00:00.000,3.196.000,0
2016-04-26 00:00:00.000,25.930.000,0
2016-04-26 00:00:00.000,15.822.000,0
2016-10-18 00:00:00.000,654.800,0
2017-03-22 00:00:00.000,1.516.000,0
2017-03-22 00:00:00.000,2.4800,0
2017-04-04 00:00:00.000,619.500,0
2017-04-20 00:00:00.000,9.606.000,0
2017-04-24 00:00:00.000,12.756.000,0
2017-04-24 00:00:00.000,27.605.000,0
2017-04-25 00:00:00.000,1.677.500,0
2017-04-25 00:00:00.000,11.240.000,0
2017-04-25 00:00:00.000,2.148.000,0
2017-04-25 00:00:00.000,2.148.000,0
2017-04-27 00:00:00.000,49.404.000,0
2017-04-27 00:00:00.000,3.450.300,0
2017-04-27 00:00:00.000,541.100,0
2017-05-04 00:00:00.000,18.255.000,0
2017-05-04 00:00:00.000,846.000,0
2017-05-05 00:00:00.000,2.468.200,0
2017-05-05 00:00:00.000,14.965.000,0
2017-05-05 00:00:00.000,2.116.700,0
2017-05-05 00:00:00.000,2.116.700,0
2017-05-23 00:00:00.000,12.446.500,0
2017-05-23 00:00:00.000,1.960.900,0
2017-05-24 00:00:00.000,1.660.300,0
2017-05-24 00:00:00.000,1.660.200,0
2017-05-25 00:00:00.000,5.873.100,0
2017-05-26 00:00:00.000,733.400,0
2017-05-31 00:00:00.000,1.529.500,0
2017-06-01 00:00:00.000,10.641.200,0
2017-06-01 00:00:00.000,7.996.800,0
2017-06-01 00:00:00.000,5.833.800,0
2017-06-02 00:00:00.000,312.000,0
2017-06-02 00:00:00.000,156.000,0
2017-06-02 00:00:00.000,6.956.800,0
2017-06-02 00:00:00.000,11.927.200,0
2017-06-02 00:00:00.000,307.000,0
2017-06-05 00:00:00.000,2.745.500,0
2017-06-05 00:00:00.000,2.848.600,0
2017-06-05 00:00:00.000,1.335.000,0
2017-06-05 00:00:00.000,468.500,0
2017-06-05 00:00:00.000,468.500,0
2017-06-05 00:00:00.000,768.400,0
2017-06-05 00:00:00.000,768.400,0
2017-06-05 00:00:00.000,2.494.000,0
2017-06-06 00:00:00.000,9.992.500,0
2017-06-06 00:00:00.000,1.266.900,0
2017-06-06 00:00:00.000,777.800,0
2017-06-06 00:00:00.000,777.700,0
2017-06-06 00:00:00.000,486.500,0
2017-06-06 00:00:00.000,18.071.600,0
2017-06-06 00:00:00.000,17.000.100,0
2017-12-22 00:00:00.000,4.035.800,0
2018-01-16 00:00:00.000,35.912.500,0
2018-03-09 00:00:00.000,391.600,0
2018-05-03 00:00:00.000,663.700,0
2018-05-03 00:00:00.000,3.706.000,0
2018-05-03 00:00:00.000,505.800,0
2018-05-16 00:00:00.000,16.511.700,0
2018-05-16 00:00:00.000,2.154.700,0
2018-05-21 00:00:00.000,5.7800,0
2018-05-22 00:00:00.000,3.445.000,0
2018-05-22 00:00:00.000,910.000,0
2018-05-23 00:00:00.000,27.274.700,0
2018-05-23 00:00:00.000,80.250.000,0
2018-05-25 00:00:00.000,340.916.100,0
2018-05-28 00:00:00.000,17.160.000,0
2018-06-06 00:00:00.000,130.400.000,0
2018-07-12 00:00:00.000,1.467.700,0
2018-07-24 00:00:00.000,3.669.000.000,0
2018-10-29 00:00:00.000,2.500.000,0
2018-10-29 00:00:00.000,10.000.000,0
2020-08-24 00:00:00.000,10.000.000,0
2020-08-24 00:00:00.000,10.000.000,0
2021-06-12 00:00:00.000,1.770.000,0
2023-12-14 00:00:00.000,500.000,0
2023-12-14 00:00:00.000,500.000,0
2023-12-14 00:00:00.000,500.000,0
2024-01-02 00:00:00.000,1.000.000,0
2024-01-02 00:00:00.000,250.000,0
2024-01-20 00:00:00.000,1.200.000,0
