DATA,VALOR,PROVISÃO
2017-05-24 00:00:00.000,3.320.500,0
2017-05-23 00:00:00.000,14.407.400,0
2017-05-26 00:00:00.000,733.400,0
2018-07-12 00:00:00.000,1.467.700,0
2018-05-23 00:00:00.000,107.524.700,0
2017-12-22 00:00:00.000,4.035.800,0
2018-01-16 00:00:00.000,35.912.500,0
2018-05-22 00:00:00.000,4.355.000,0
2018-05-28 00:00:00.000,17.160.000,0
2020-08-24 00:00:00.000,20.000.000,0
2018-05-21 00:00:00.000,57.800,0
2016-10-18 00:00:00.000,654.800,0
2018-06-06 00:00:00.000,130.400.000,0
2017-06-05 00:00:00.000,11.896.900,0
2017-06-06 00:00:00.000,48.373.100,0
2018-07-24 00:00:00.000,3.669.000.000,0
2017-04-24 00:00:00.000,40.361.000,0
2016-02-15 00:00:00.000,4.931.000,0
2018-03-09 00:00:00.000,391.600,0
2016-02-17 00:00:00.000,5.881.500,0
2017-04-04 00:00:00.000,619.500,0
2018-05-16 00:00:00.000,18.666.400,0
2016-04-07 00:00:00.000,3.196.000,0
2017-04-20 00:00:00.000,9.606.000,0
2017-05-31 00:00:00.000,1.529.500,0
2021-06-12 00:00:00.000,1.770.000,0
2017-04-25 00:00:00.000,17.213.500,0
2023-12-14 00:00:00.000,1.500.000,0
2016-02-12 00:00:00.000,12.808.500,0
2017-04-27 00:00:00.000,53.395.400,0
2018-10-29 00:00:00.000,12.500.000,0
2016-04-26 00:00:00.000,41.752.000,0
2018-05-03 00:00:00.000,4.875.500,0
2017-03-22 00:00:00.000,1.540.800,0
2024-01-20 00:00:00.000,1.200.000,0
2017-05-04 00:00:00.000,19.101.000,0
2017-05-05 00:00:00.000,21.666.600,0
2017-06-01 00:00:00.000,24.471.800,0
2017-06-02 00:00:00.000,19.659.000,0
2024-01-02 00:00:00.000,1.250.000,0
2018-05-25 00:00:00.000,340.916.100,0
2017-05-25 00:00:00.000,5.873.100,0
Soma total de todas as provisões = 4.735.975.400
