DATA,VALOR,RECEITA
2016-02-04 00:00:00.000,344.000,1
2016-02-04 00:00:00.000,344.000,1
2016-02-12 00:00:00.000,2.500.000,1
2016-02-12 00:00:00.000,17.511.500,1
2016-02-12 00:00:00.000,6.413.500,1
2016-02-12 00:00:00.000,886.500,1
2016-02-12 00:00:00.000,886.500,1
2016-02-12 00:00:00.000,8.000.000,1
2016-02-12 00:00:00.000,4.808.500,1
2016-02-12 00:00:00.000,2.423.500,1
2016-02-12 00:00:00.000,2.442.800,1
2016-02-12 00:00:00.000,14.753.200,1
2016-02-12 00:00:00.000,14.753.200,1
2016-02-12 00:00:00.000,14.753.200,1
2016-02-15 00:00:00.000,1.475.000,1
2016-02-15 00:00:00.000,800.000,1
2016-02-15 00:00:00.000,1.981.000,1
2016-02-15 00:00:00.000,400.000,1
2016-02-15 00:00:00.000,3.397.000,1
2016-02-15 00:00:00.000,2.855.500,1
2016-02-16 00:00:00.000,10.000.000,1
2016-02-16 00:00:00.000,11.161.000,1
2016-02-16 00:00:00.000,11.161.000,1
2016-02-17 00:00:00.000,10.006.000,1
2016-02-17 00:00:00.000,172.000,1
2016-02-17 00:00:00.000,2.040.000,1
2016-02-17 00:00:00.000,3.240.000,1
2016-02-17 00:00:00.000,8.905.500,1
2016-02-17 00:00:00.000,6.906.300,1
2016-02-18 00:00:00.000,657.000,1
2016-02-18 00:00:00.000,657.000,1
2016-02-18 00:00:00.000,669.500,1
2016-02-18 00:00:00.000,657.000,1
2016-02-22 00:00:00.000,1.594.500,1
2016-04-05 00:00:00.000,657.000,1
2016-04-05 00:00:00.000,657.000,1
2016-04-06 00:00:00.000,886.500,1
2016-04-06 00:00:00.000,3.196.000,1
2016-04-06 00:00:00.000,25.930.000,1
2016-04-07 00:00:00.000,23.440.000,1
2016-04-07 00:00:00.000,23.440.000,1
2016-04-07 00:00:00.000,18.703.500,1
2016-04-07 00:00:00.000,18.703.500,1
2016-04-07 00:00:00.000,4.650.200,1
2016-04-26 00:00:00.000,15.822.000,1
2016-04-26 00:00:00.000,19.453.000,1
2016-04-26 00:00:00.000,19.453.000,1
2016-04-26 00:00:00.000,37.002.100,1
2016-10-19 00:00:00.000,654.800,1
2016-10-20 00:00:00.000,11.331.600,1
2016-10-20 00:00:00.000,10.000.000,1
2016-10-20 00:00:00.000,1.8400,1
2016-10-20 00:00:00.000,1.331.600,1
2016-10-24 00:00:00.000,678.300,1
2016-10-24 00:00:00.000,678.300,1
2016-10-25 00:00:00.000,678.300,1
2016-10-25 00:00:00.000,678.300,1
2016-10-25 00:00:00.000,654.800,1
2016-10-25 00:00:00.000,654.800,1
2016-10-25 00:00:00.000,678.300,1
2016-10-25 00:00:00.000,678.300,1
2016-10-26 00:00:00.000,678.300,1
2016-10-26 00:00:00.000,678.300,1
2016-11-11 00:00:00.000,68.473.600,1
2016-11-11 00:00:00.000,26.257.500,1
2016-11-11 00:00:00.000,26.257.500,1
2016-11-23 00:00:00.000,21.545.400,1
2016-11-23 00:00:00.000,27.794.500,1
2016-11-23 00:00:00.000,21.545.400,1
2016-11-23 00:00:00.000,27.794.500,1
2016-11-23 00:00:00.000,29.094.000,1
2016-11-23 00:00:00.000,29.094.000,1
2016-11-23 00:00:00.000,3.836.000,1
2016-11-23 00:00:00.000,2.118.000,1
2016-11-24 00:00:00.000,68.473.600,1
2016-11-24 00:00:00.000,3.188.000,1
2016-11-24 00:00:00.000,31.870.800,1
2016-11-24 00:00:00.000,31.870.800,1
2016-11-24 00:00:00.000,18.476.000,1
2016-11-24 00:00:00.000,18.476.000,1
2016-11-25 00:00:00.000,12.748.900,1
2016-11-25 00:00:00.000,2.838.200,1
2016-11-25 00:00:00.000,456.500,1
2016-11-25 00:00:00.000,456.500,1
2016-11-25 00:00:00.000,9.910.700,1
2016-11-30 00:00:00.000,1.473.000,1
2016-11-30 00:00:00.000,1.704.500,1
2016-12-01 00:00:00.000,1.704.500,1
2016-12-01 00:00:00.000,192.100,1
2016-12-01 00:00:00.000,11.971.300,1
2016-12-01 00:00:00.000,192.100,1
2016-12-01 00:00:00.000,11.971.300,1
2016-12-01 00:00:00.000,10.694.900,1
2016-12-01 00:00:00.000,10.694.900,1
2016-12-01 00:00:00.000,10.694.900,1
2016-12-01 00:00:00.000,10.694.900,1
2016-12-01 00:00:00.000,10.694.900,1
2016-12-01 00:00:00.000,10.694.900,1
2016-12-01 00:00:00.000,4.813.800,1
2016-12-02 00:00:00.000,23.213.600,1
2016-12-02 00:00:00.000,36.737.000,1
2016-12-02 00:00:00.000,23.213.600,1
2016-12-02 00:00:00.000,36.737.000,1
2016-12-02 00:00:00.000,256.200,1
2016-12-02 00:00:00.000,256.200,1
2016-12-02 00:00:00.000,72.873.100,1
2016-12-05 00:00:00.000,8.5400,1
2016-12-05 00:00:00.000,72.903.500,1
2016-12-05 00:00:00.000,132.600,1
2016-12-05 00:00:00.000,132.600,1
2016-12-05 00:00:00.000,93.379.300,1
2016-12-05 00:00:00.000,93.379.300,1
2016-12-05 00:00:00.000,2.087.700,1
2016-12-06 00:00:00.000,2.087.700,1
2016-12-06 00:00:00.000,1.849.000,1
2016-12-06 00:00:00.000,1.849.000,1
2016-12-06 00:00:00.000,1.849.100,1
2016-12-06 00:00:00.000,1.849.000,1
2016-12-06 00:00:00.000,1.849.000,1
2016-12-06 00:00:00.000,1.849.100,1
2016-12-06 00:00:00.000,638.500,1
2016-12-06 00:00:00.000,638.500,1
2016-12-07 00:00:00.000,7.379.600,1
