DATA,VALOR,RECEITA
2018-05-23 00:00:00.000,1.199.500.100,1
2022-08-25 00:00:00.000,232.800,1
2024-09-05 00:00:00.000,3.054.100,1
2022-10-05 00:00:00.000,284.800,1
2022-07-31 00:00:00.000,698.400,1
2016-12-08 00:00:00.000,26.101.900,1
2020-08-27 00:00:00.000,1.016.100,1
2018-01-02 00:00:00.000,33.237.600,1
2022-10-28 00:00:00.000,34.120.600,1
2022-08-02 00:00:00.000,232.800,1
2022-06-19 00:00:00.000,232.800,1
2022-11-26 00:00:00.000,595.440.100,1
2022-07-28 00:00:00.000,12.846.800,1
2023-11-05 00:00:00.000,12.000.000,1
2017-02-16 00:00:00.000,148.791.600,1
2022-07-20 00:00:00.000,232.800,1
2024-07-25 00:00:00.000,1.289.600,1
2017-04-07 00:00:00.000,9.961.600,1
2016-04-05 00:00:00.000,1.314.000,1
2017-12-15 00:00:00.000,1.318.800,1
2016-12-12 00:00:00.000,139.639.200,1
2018-12-18 00:00:00.000,1.547.500,1
2024-04-26 00:00:00.000,521.400,1
2022-11-03 00:00:00.000,177.007.900,1
2016-10-20 00:00:00.000,22.681.600,1
2022-11-02 00:00:00.000,65.118.700,1
2021-10-26 00:00:00.000,33.988.200,1
2024-04-25 00:00:00.000,1.653.000,1
2018-12-17 00:00:00.000,1.908.419.100,1
2024-08-19 00:00:00.000,2.100,1
2016-12-19 00:00:00.000,47.014.600,1
2018-10-30 00:00:00.000,51.300.500,1
2017-06-02 00:00:00.000,97.488.200,1
2022-08-14 00:00:00.000,232.800,1
2016-11-25 00:00:00.000,26.410.800,1
2022-09-08 00:00:00.000,100.232.800,1
2022-10-21 00:00:00.000,7.121.500,1
2022-09-07 00:00:00.000,232.800,1
2022-08-13 00:00:00.000,232.800,1
2022-10-20 00:00:00.000,15.823.700,1
2023-10-01 00:00:00.000,4.800.000,1
2016-12-09 00:00:00.000,165.360.800,1
2022-07-30 00:00:00.000,232.800,1
2024-04-15 00:00:00.000,127.200,1
2016-12-07 00:00:00.000,23.102.900,1
2024-04-09 00:00:00.000,1.389.500,1
2022-10-27 00:00:00.000,23.813.500,1
2022-06-18 00:00:00.000,232.800,1
2017-03-30 00:00:00.000,18.520.400,1
2021-08-06 00:00:00.000,2.000.000,1
2022-11-25 00:00:00.000,486.925.300,1
2022-07-27 00:00:00.000,232.800,1
2022-10-29 00:00:00.000,450.000,1
2020-04-29 00:00:00.000,705.747.300,1
2022-07-29 00:00:00.000,4.870.800,1
2023-11-06 00:00:00.000,300.000,1
2022-06-10 00:00:00.000,232.800,1
2017-05-31 00:00:00.000,169.800,1
2022-09-10 00:00:00.000,232.800,1
2023-09-12 00:00:00.000,1.200.000,1
2023-12-14 00:00:00.000,1.500.000,1
2022-10-15 00:00:00.000,2.559.000,1
2022-09-12 00:00:00.000,232.800,1
2022-06-12 00:00:00.000,23.511.700,1
2022-10-17 00:00:00.000,3.184.800,1
2017-02-06 00:00:00.000,4.408.000,1
2017-05-04 00:00:00.000,50.313.500,1
2024-01-03 00:00:00.000,52.000,1
2021-10-01 00:00:00.000,200.000,1
2024-10-03 00:00:00.000,250.000,1
2017-12-20 00:00:00.000,22.374.700,1
2023-07-01 00:00:00.000,102.000,1
2018-07-12 00:00:00.000,40.930.000,1
2018-01-16 00:00:00.000,40.005.400,1
2023-11-30 00:00:00.000,12.000,1
2021-11-17 00:00:00.000,111.900,1
2021-12-22 00:00:00.000,5.601.000,1
2022-08-27 00:00:00.000,232.800,1
2016-10-19 00:00:00.000,654.800,1
2022-08-04 00:00:00.000,284.800,1
2024-04-12 00:00:00.000,565.800,1
2022-10-26 00:00:00.000,19.473.700,1
2021-02-24 00:00:00.000,7.398.000,1
2023-12-01 00:00:00.000,7.200.000,1
2017-12-28 00:00:00.000,1.350.500,1
2022-11-24 00:00:00.000,398.186.600,1
2022-08-23 00:00:00.000,698.400,1
2017-01-05 00:00:00.000,130.323.200,1
2021-07-27 00:00:00.000,1.606.800,1
2023-11-07 00:00:00.000,6.416.500,1
2018-05-17 00:00:00.000,16.315.000,1
2022-07-22 00:00:00.000,423.600,1
2017-04-05 00:00:00.000,4.994.000,1
2022-11-04 00:00:00.000,238.156.400,1
2021-04-26 00:00:00.000,52.869.300,1
2016-04-06 00:00:00.000,30.012.500,1
2022-07-26 00:00:00.000,232.800,1
2023-11-03 00:00:00.000,8.000.000,1
2022-11-27 00:00:00.000,728.138.200,1
2021-07-22 00:00:00.000,27.676.000,1
2022-11-28 00:00:00.000,890.408.900,1
2024-08-14 00:00:00.000,959.600,1
2022-09-09 00:00:00.000,900.232.800,1
2016-11-23 00:00:00.000,162.821.800,1
2022-10-22 00:00:00.000,8.708.600,1
2022-10-23 00:00:00.000,10.649.300,1
2022-09-05 00:00:00.000,5.232.800,1
2016-11-24 00:00:00.000,172.355.200,1
2017-06-01 00:00:00.000,112.877.600,1
2016-12-01 00:00:00.000,95.014.500,1
2022-08-28 00:00:00.000,232.800,1
2017-01-16 00:00:00.000,8.404.000,1
2018-05-24 00:00:00.000,5.503.212.000,1
2019-08-27 00:00:00.000,2.498.500,1
2022-08-24 00:00:00.000,232.800,1
2020-08-24 00:00:00.000,171.711.900,1
2020-08-28 00:00:00.000,640.953.900,1
2022-10-06 00:00:00.000,348.200,1
2021-09-01 00:00:00.000,2.695.000,1
2021-03-01 00:00:00.000,61.611.800,1
2024-05-28 00:00:00.000,155.652.500,1
2024-05-24 00:00:00.000,102.000,1
2017-12-29 00:00:00.000,5.819.300,1
2022-08-07 00:00:00.000,232.800,1
2024-05-07 00:00:00.000,267.718.000,1
2024-08-20 00:00:00.000,23.100,1
2022-10-12 00:00:00.000,1.164.600,1
2022-08-20 00:00:00.000,232.800,1
2016-10-26 00:00:00.000,1.356.600,1
2022-11-07 00:00:00.000,217.750.600,1
2018-10-26 00:00:00.000,2.021.000,1
2020-06-29 00:00:00.000,496.870.400,1
2023-09-11 00:00:00.000,82.000,1
2022-09-29 00:00:00.000,50.465.600,1
2022-06-11 00:00:00.000,232.800,1
2016-11-30 00:00:00.000,3.177.500,1
2022-07-06 00:00:00.000,24.037.000,1
2017-04-26 00:00:00.000,75.073.600,1
2022-09-11 00:00:00.000,232.800,1
2021-03-11 00:00:00.000,5.058.800,1
2016-04-26 00:00:00.000,91.730.100,1
2022-10-16 00:00:00.000,2.604.400,1
2021-06-11 00:00:00.000,2.727.800,1
2018-05-03 00:00:00.000,34.141.300,1
2017-02-03 00:00:00.000,110.400.000,1
2021-06-21 00:00:00.000,2.162.000,1
2022-06-29 00:00:00.000,3.042.300,1
2017-03-21 00:00:00.000,2.338.781.600,1
2022-11-30 00:00:00.000,1.331.499.200,1
2023-08-30 00:00:00.000,102.000,1
2024-01-02 00:00:00.000,1.500.000,1
2024-08-30 00:00:00.000,381.600,1
2017-12-21 00:00:00.000,54.769.200,1
2021-06-25 00:00:00.000,7.129.200,1
2017-05-24 00:00:00.000,23.969.400,1
2018-03-01 00:00:00.000,25.810.400,1
2020-12-21 00:00:00.000,122.000,1
2022-07-12 00:00:00.000,232.800,1
2017-12-22 00:00:00.000,4.035.800,1
2022-09-30 00:00:00.000,10.000.000,1
2017-06-06 00:00:00.000,126.542.800,1
2021-02-26 00:00:00.000,48.912.900,1
2021-08-03 00:00:00.000,2.500.000,1
2022-06-30 00:00:00.000,1.169.300,1
2019-02-18 00:00:00.000,1.342.500,1
2022-08-06 00:00:00.000,232.800,1
2022-10-09 00:00:00.000,636.800,1
2016-12-27 00:00:00.000,265.025.600,1
2022-08-21 00:00:00.000,232.800,1
2021-04-29 00:00:00.000,78.630.000,1
2022-10-13 00:00:00.000,106.424.200,1
2017-01-03 00:00:00.000,89.500,1
2017-03-10 00:00:00.000,128.921.200,1
2018-03-09 00:00:00.000,4.260.400,1
2018-05-15 00:00:00.000,1.830.200,1
2016-02-17 00:00:00.000,31.269.800,1
2016-10-24 00:00:00.000,1.356.600,1
2022-11-06 00:00:00.000,178.067.100,1
2023-12-18 00:00:00.000,1.200.000,1
2024-01-10 00:00:00.000,116.000,1
2024-04-10 00:00:00.000,2.382.500,1
2021-07-20 00:00:00.000,5.610.000,1
2021-07-21 00:00:00.000,6.601.000,1
2024-05-03 00:00:00.000,140.623.500,1
2018-03-12 00:00:00.000,10.569.100,1
2020-10-27 00:00:00.000,1.140.850.000,1
2017-12-18 00:00:00.000,6.747.800,1
2022-08-17 00:00:00.000,232.800,1
2023-08-01 00:00:00.000,300.000.000,1
2016-12-15 00:00:00.000,324.627.300,1
2022-07-24 00:00:00.000,232.800,1
2022-11-29 00:00:00.000,1.098.842.800,1
2022-07-23 00:00:00.000,232.800,1
2022-10-25 00:00:00.000,15.924.700,1
2023-11-01 00:00:00.000,1.200.000,1
2016-12-16 00:00:00.000,5.232.600,1
2022-10-24 00:00:00.000,13.022.500,1
2021-09-09 00:00:00.000,613.000,1
2017-03-17 00:00:00.000,72.587.000,1
2022-08-10 00:00:00.000,232.800,1
2021-06-09 00:00:00.000,10.726.000,1
2017-12-19 00:00:00.000,6.475.400,1
2021-06-08 00:00:00.000,290.929.300,1
2021-11-16 00:00:00.000,700,1
2024-03-08 00:00:00.000,4.432.500,1
2017-02-24 00:00:00.000,83.300.800,1
2017-05-25 00:00:00.000,8.318.100,1
2017-05-23 00:00:00.000,4.980.100,1
2016-12-05 00:00:00.000,262.100.400,1
2018-05-28 00:00:00.000,570.125.400,1
2019-06-05 00:00:00.000,150.000.000,1
2024-04-17 00:00:00.000,127.200,1
2020-04-30 00:00:00.000,77.094.300,1
2021-02-25 00:00:00.000,30.997.500,1
2017-06-05 00:00:00.000,7.594.400,1
2022-09-02 00:00:00.000,232.800,1
2017-05-02 00:00:00.000,1.434.600,1
2022-01-11 00:00:00.000,8.401.500,1
2021-08-02 00:00:00.000,4.418.600,1
2016-12-28 00:00:00.000,134.822.600,1
2022-06-14 00:00:00.000,134.962.900,1
2022-07-11 00:00:00.000,232.800,1
2016-12-30 00:00:00.000,148.148.800,1
2018-05-16 00:00:00.000,30.622.000,1
2022-11-23 00:00:00.000,340.219.900,1
2021-05-04 00:00:00.000,46.600,1
2016-02-16 00:00:00.000,32.322.000,1
